11,27,1,26,8,8,8
.o,.o,.o,.o,.o,.o,.o,.o,.o,.o,.o
.o,..,.o,..,..,.o,..,.o,..,.g,.o
.o,..,..,..,.o,..,..,..,..,.o,.o
.o,..,.o,..,..,..,.o,.o,..,..,.o
.o,..,..,..,.o,..,..,..,..,.o,.o
.o,..,..,..,..,..,..,.o,..,..,.o
.o,.o,.o,.o,.o,..,..,.o,.o,.o,.o
.o,./,.-,.-,.o,..,..,..,.o,.o,.o
.o,.|,.r,..,..,..,..,..,.o,.o,.o
.o,.|,.r,..,..,..,..,..,.r,.r,.o
.o,.6,.-,.-,.\,m.,m.,.o,.o,.o,.o
.o,mo,mo,mo,.|,m.,m.,m.,m.,m.,.o
.o,mo,mo,mo,.|,m.,m.,m.,m.,m.,.o
.-,.-,.-,.-,.9,m.,m.,m.,m.,m.,.o
.o,..,..,..,..,..,..,..,..,..,.o
.o,..,mr,mr,..,..,..,mr,mr,mr,.o
.o,..,..,..,..,..,..,mr,mr,mr,.o
.o,..,..,..,..,..,..,mr,mr,mr,.o
.o,..,..,..,..,..,..,..,..,..,.o
.o,..,..,.o,.o,.o,.o,.o,..,..,.o
.o,..,..,.o,.o,.o,.o,.o,..,..,.o
m-,.o,..,.o,m-,m-,m-,.o,..,.o,m/
mr,..,..,..,..,..,..,..,..,.o,m|
mr,.r,.r,.r,..,..,.r,..,..,.o,m|
m\,.o,..,..,..,..,..,..,..,.o,m|
m|,..,..,..,.o,m/,m\,.o,.o,.o,m|
m6,m-,m-,m-,m-,m9,m6,m-,m-,m-,m9
