10,35,1,34,15,8,7
mo,mo,mo,mo,mo,mo,mo,mo,mo,mo
mo,.g,..,mr,mr,mr,.o,.o,.o,mo
mo,..,..,..,..,..,..,..,.o,mo
m-,.-,.-,.\,..,..,..,.o,.o,mo
mo,mo,mo,.|,..,..,..,.o,.o,mo
mo,mo,mo,.6,.\,..,..,.r,.r,mo
mo,mo,mo,.o,.|,..,..,..,..,mo
m-,m-,m-,.-,.9,..,.r,.r,.r,mo
mo,mo,m.,m.,m.,m.,mr,mr,mr,mo
mo,mo,m.,m.,m.,m.,m.,m.,m.,mo
mo,.o,.o,..,..,..,.o,.o,.o,mo
mo,.o,.o,..,..,..,.o,.o,.o,mo
mo,.o,..,..,..,..,.o,.o,.o,mo
mo,.o,..,..,..,..,..,..,..,mo
mo,.o,.r,.r,.r,..,..,..,..,mo
mo,.o,./,.-,.\,..,..,..,mr,mo
mo,.o,m.,m.,m.,..,..,..,mr,mo
mo,.o,m.,m.,m.,..,..,..,mr,mo
mo,.o,m.,m.,m.,m.,m.,m.,mr,mo
mo,.o,..,..,..,.o,.o,m.,.o,mo
mo,..,..,..,..,.o,.|,m.,.r,./
mo,..,..,.r,.r,.o,.|,..,.r,.|
mo,..,..,.o,.o,.o,.|,..,..,.|
mo,..,..,.6,.-,.-,.9,..,..,.|
mo,..,..,..,..,..,..,..,..,.|
mo,..,..,..,..,..,..,..,.o,.r
.r,.r,.r,.r,.r,..,..,.o,.o,.o
mo,m.,m.,m.,m.,m.,m.,m.,m.,mo
mo,mr,m.,mr,mr,m.,mo,mo,mo,mo
.-,.\,.o,.-,.\,..,..,..,mo,mo
mo,.|,.o,.o,.|,..,.o,.o,mo,mo
mo,.|,.o,.o,.|,..,..,..,mo,mo
mo,.6,.-,.-,.9,..,..,.o,mo,mo
mo,..,..,..,..,..,..,..,mo,mo
mo,mo,mo,mo,mo,mo,mo,mo,mo,mo
